,Unnamed: 0,Unnamed: 0.1,Name,Distance,Mass,Radius,Gravity
0,8,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.27872675245442
1,9,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.13359189999999999,176.04104671648304
2,31,31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,264.0615700747245
3,38,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.57813834448314
4,44,44,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
5,48,48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999994,273.38867657214814
6,52,52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,349.17183620139764
7,78,78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,336.7014134799192
8,105,105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,298.8070452617073
9,144,144,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
10,149,149,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256426999999998,178.78094402431134
11,150,150,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284056999999994,307.964772994003
